Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,Charles-Augustin de Coulomb died in Paris.,medium,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,"Paris, France",medium,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Charles-Augustin de Coulomb was permanently stationed in Paris in 1781.,medium,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Yes,medium,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,What contribution did Charles-Augustin de Coulomb make to the field of geotechnical engineering?,Retaining wall design,medium,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,The construction of Fort Bourbon took place in Martinique.,hard,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,Martinique ,hard,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's law is the definition of the electrostatic force of attraction and repulsion.,hard,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's Law,hard,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?,Charles-Augustin de Coulomb retired to a small estate he possessed at Blois on the outbreak of the revolution in 1789.,hard,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?,1789,hard,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,"If Charles-Augustin de Coulomb was alive today, how old would he have been?",273,NULL,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,For how many years did Charles-Augustin de Coulomb live?,70,NULL,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb live to be 80 years old?,no,NULL,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,How old was Charles-Augustin de Coulomb when he died?,1806,NULL,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,How many years ago did he resign his appointment as intendant de eaux et fontaine ?,220,NULL,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,How many years ago did Charles-Augustin de Coulomb die?,203,NULL,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,"Was The SI  unit  of charge , the  coulomb , named after him?",yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,"Was coulomb born in Angoulême,  France ,  to a well  to do  family?",yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,"Was his father ,  Henri  Coulomb , inspector of the Royal  Fields  in Montpellier?",Yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,Is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism?,yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,"Was Charles Augustin  de Coulomb  ( born  June  14 ,  1736 ,  Angoulême ,  France  -  died August 23 ,  1806 ,  Paris ,  France  ) a French  physicist?",yes,NULL,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,Does Coulomb leave a legacy?,yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb born?,"June 14, 1736",NULL,medium,S09_set4_a6
Charles-Augustin_de_Coulomb,Did he publish an important investigation of the laws of friction?,yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,"Was Coulomb born in Angoulême, France, to a well to do family?",yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,Was his father inspector of the Royal Fields?,yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,He discovered an inverse relationship of what?,distance and electric force,NULL,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,Is it true that coulomb leaves a legacy as a hero?,yes,NULL,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,Where is Charles-Augustin de Coulomb from?,France,NULL,medium,S09_set4_a6
Chinese_language,What was Chinese language`s profession?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,What is Chinese language`s first name?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,What is Chinese language`s last name?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,How many offspring did Chinese language have?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,The Mandarin dialects in which location have experienced a dramatic decrease in sounds and so have far more multisyllabic words than most other spoken varieties?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,Was Old Chinese wholly uninflected?,no,NULL,easy,S09_set5_a7
Chinese_language,"In North Korea, has Hanja been discontinued?",NULL,NULL,NULL,S09_set5_a7
Chinese_language,The most  widespread is the Palladius  system?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,Is the Vietnamese  term  for Chinese writing Hán t?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,Did the Empire have little success?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,When are most of these groups mutually unintelligible?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,What is the population of Chinese language?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,Is the most widespread the Palladius system?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,Are most of these groups mutually unintelligible?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,In what country is Chinese language located?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,Are The modern Chinese dialects more like a family?,yes,NULL,easy,S09_set5_a7
Chinese_language,Is it true that one-fifth of world population speak some form of Chinese?,yes,NULL,easy,S09_set5_a7
Chinese_language,One-fifth of world population speak some form of what?,Chinese,NULL,medium,S09_set5_a7
Chinese_language,Is mandarin spoken Chinese distinguished by its high level?,"no, it's distinguished by diversity",NULL,easy,S09_set5_a7
Chinese_language,Is standard Mandarin language of People Republic?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,Are there many systems of romanization for the chinese languages due to the Chinese`s own lack of phonetic transcription until modern times ?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,May the idea of Chinese as a language family suggest that the chinese identity is much more fragmentary and disunified than Chinese language actually is and as such is often looked upon as culturally and politically provocative ?,NULL,NULL,NULL,S09_set5_a7
Chinese_language,"Are most chinese words formed out of native chinese morphemes , including words describing imported objects and ideas ?",NULL,NULL,NULL,S09_set5_a7
Chinese_language,"May a native of Guangzhou speak Standard Cantonese and putonghua , a resident of Taiwan , both taiwanese and putonghua/guoyu ?",NULL,NULL,NULL,S09_set5_a7
Chinese_language,"Refer most chinese and chinese linguists to chinese as a single language and Chinese language`s subdivisions dialects , while others call chinese a language family ?",NULL,NULL,NULL,S09_set5_a7
Chinese_language,"Are there between 7 and 13 main regional groups of Chinese , of which the most spoken , by far , is about 850 million , followed by 90 million , 70 million and 70 million ?",NULL,NULL,NULL,S09_set5_a7
Copenhagen,Copenhagen is the capital of what country?,Denmark,easy,easy,S09_set3_a8
Copenhagen,Copenhagen is the capital of what country?,Denmark,easy,medium,S09_set3_a8
Copenhagen,What is the population of Copenhagen?,"1,161,063",easy,medium,S09_set3_a8
Copenhagen,What is the population of Copenhagen?,"1,153,615",easy,hard,S09_set3_a8
Copenhagen,What transnational bridge was completed in 2000?,Oresund Bridge,easy,medium,S09_set3_a8
Copenhagen,What transnational bridge was completed in 2000?,Oresund Bridge,easy,hard,S09_set3_a8
Copenhagen,Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure,medium,hard,S09_set3_a8
Copenhagen,Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure with the largest airport in Scandinavia[6] located 14 minutes by train from the city centre,medium,hard,S09_set3_a8
Copenhagen,What happened to Copenhagen between 1251 and 1255?,a bunch of things,medium,too hard,S09_set3_a8
Copenhagen,Is Copenhagen completely surrounded with water? ,No,medium,hard,S09_set3_a8
Copenhagen,Copenhagen is ranked number one worldwide for which things?,"Most Livable City in the World, ",hard,too hard,S09_set3_a8
Copenhagen,Copenhagen is ranked number one worldwide for which things?,"Most Livable City, Location Ranking Survey",hard,too hard,S09_set3_a8
Copenhagen,Why did German troops occupy Copenhagen?,Because it was WW2,hard,too hard,S09_set3_a8
Cymbal,Have cymbals been used historically to suggest bacchanal?,Yes,easy,easy,S09_set2_a6
Cymbal,Have cymbals been used historically to suggest bacchanal?,Yes,easy,hard,S09_set2_a6
Cymbal,Can the origins of cymbals be traced to prehistoric times?,Yes,easy,easy,S09_set2_a6
Cymbal,Can the origins of cymbals be traced to prehistoric times?,Yes,easy,easy,S09_set2_a6
Cymbal,Are cymbals used in moden orchestras?,Yes,easy,easy,S09_set2_a6
Cymbal,Are cymbals used in moden orchestras?,Yes,easy,easy,S09_set2_a6
Cymbal,What are the most common Cymbals?," The most common Cymbals are the Hi-Hats, Crash, Splash, Ride, and China.",medium,medium,S09_set2_a6
Cymbal,What are the most common Cymbals?,"Hi-Hats, Crash, Splash, Ride, and China",medium,easy,S09_set2_a6
Cymbal,What is the second main orchestral use of cymbals?,The suspended cymbal is the second main orchestral use of symbals.,medium,medium,S09_set2_a6
Cymbal,What is the second main orchestral use of cymbals?,The suspended cymbal,medium,easy,S09_set2_a6
Cymbal,What have clash cymbals traditionally been accompanied by?,Clash cymbals have traditionally been accompanied by the bass drum playing an identical part.,medium,medium,S09_set2_a6
Cymbal,What have clash cymbals traditionally been accompanied by?,The bass drum playing an identical part,medium,easy,S09_set2_a6
Cymbal,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the symbal.,hard,hard,S09_set2_a6
Cymbal,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the cymbal,hard,hard,S09_set2_a6
Cymbal,What is an effective way to accentuate a note?,Playing a bass drum playing an identical part is an effective way to accentuate a note.,hard,hard,S09_set2_a6
Cymbal,What is an effective way to accentuate a note?,"The combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly",hard,hard,S09_set2_a6
